単元,Q.単元,品詞,Q.品詞,単語,異形,Q.単語,出現回数,answer,間違い1,間違い2,間違い3,kaisetsu,辞書引用,抜粋,ランダム,ショートコード,,,
10:複文,10:複文クイズ,形、副、小辞,形、副、小辞クイズ,"ἀλήθεια,ἡ",,"Q. ἀλήθεια,ἡ",109,真理、真実,すぐに,荒れ野,意味,(109)真理、真実,真理、真実,(109)真理、真実,"""true""","[quiz question=""真理、真実,すぐに,荒れ野,意味"" answer=""真理、真実"" kaisetsu=""(109)真理、真実"" random=""true""]ἀλήθεια,ἡ[/quiz]",,,
10:複文,10:複文クイズ,形、副、小辞,形、副、小辞クイズ,ἀληθινός,,Q. ἀληθινός,28,真実の、実際の,ちょうど〜の様に,野菜,心,(28)真実の、実際の、ヨハ1.9で「まことの光」,真実の、実際の、ヨハ1.9で「まことの光」,(28)真実の、実際の,"""true""","[quiz question=""真実の、実際の,ちょうど〜の様に,野菜,心"" answer=""真実の、実際の"" kaisetsu=""(28)真実の、実際の、ヨハ1.9で「まことの光」"" random=""true""]ἀληθινός[/quiz]",,,
10:複文,10:複文クイズ,形、副、小辞,形、副、小辞クイズ,ἐγγύς,,Q. ἐγγύς,31,近くの,うまく、適切に,ユング心理学,今すぐ,(31)近くの,近くの,(31)近くの,"""true""","[quiz question=""近くの,うまく、適切に,ユング心理学,今すぐ"" answer=""近くの"" kaisetsu=""(31)近くの"" random=""true""]ἐγγύς[/quiz]",,,
10:複文,10:複文クイズ,形、副、小辞,形、副、小辞クイズ,έκεῖ,,Q. έκεῖ,105,そこへ、そこで,はい、その通り,駅ナカ,ここへ、ここで,(105)そこへ、そこで,そこへ、そこで,(105)そこへ、そこで,"""true""","[quiz question=""そこへ、そこで,はい、その通り,駅ナカ,ここへ、ここで"" answer=""そこへ、そこで"" kaisetsu=""(105)そこへ、そこで"" random=""true""]έκεῖ[/quiz]",,,
10:複文,10:複文クイズ,形、副、小辞,形、副、小辞クイズ,ἐκεῖθεν,,Q. ἐκεῖθεν,37,そこから,同様の,罫線,ここから,(37)そこから,そこから,(37)そこから,"""true""","[quiz question=""そこから,同様の,罫線,ここから"" answer=""そこから"" kaisetsu=""(37)そこから"" random=""true""]ἐκεῖθεν[/quiz]",,,
10:複文,10:複文クイズ,形、副、小辞,形、副、小辞クイズ,εὐθύς,,Q. εὐθύς,51,すぐに,真理、真実,中高生,あとで,(51)マルコの口癖。1ページに何回も出てくる。すぐに、とか、早速、とか訳すと良い。51回のうちルカ3、ヨハ3、使徒４、２ペ１、残りがマルコ,マルコの口癖。1ページに何回も出てくる。すぐに、とか、早速、とか訳すと良い。51回のうちルカ3、ヨハ3、使徒４、２ペ１、残りがマルコ,(51)すぐに,"""true""","[quiz question=""すぐに,真理、真実,中高生,あとで"" answer=""すぐに"" kaisetsu=""(51)マルコの口癖。1ページに何回も出てくる。すぐに、とか、早速、とか訳すと良い。51回のうちルカ3、ヨハ3、使徒４、２ペ１、残りがマルコ"" random=""true""]εὐθύς[/quiz]",,,
10:複文,10:複文クイズ,形、副、小辞,形、副、小辞クイズ,καθώς,,Q. καθώς,182,ちょうど〜の様に,真実の、実際の,うまく、適切に,まったく〜ない,(182)ちょうど〜の様に,ちょうど〜の様に,(182)ちょうど〜の様に,"""true""","[quiz question=""ちょうど〜の様に,真実の、実際の,うまく、適切に,まったく〜ない"" answer=""ちょうど〜の様に"" kaisetsu=""(182)ちょうど〜の様に"" random=""true""]καθώς[/quiz]",,,
10:複文,10:複文クイズ,形、副、小辞,形、副、小辞クイズ,καλῶς,,Q. καλῶς,37,うまく、適切に,近くの,ちょうど〜の様に,軽い,(37)うまく、適切に,うまく、適切に,(37)うまく、適切に,"""true""","[quiz question=""うまく、適切に,近くの,ちょうど〜の様に,軽い"" answer=""うまく、適切に"" kaisetsu=""(37)うまく、適切に"" random=""true""]καλῶς[/quiz]",,,
10:複文,10:複文クイズ,形、副、小辞,形、副、小辞クイズ,ναί,,Q. ναί,33,はい、その通り,そこへ、そこで,それはない,いいえ、違います,(33)はい、その通り,はい、その通り,(33)はい、その通り,"""true""","[quiz question=""はい、その通り,そこへ、そこで,それはない,いいえ、違います"" answer=""はい、その通り"" kaisetsu=""(33)はい、その通り"" random=""true""]ναί[/quiz]",,,
10:複文,10:複文クイズ,形、副、小辞,形、副、小辞クイズ,ὅμοιος,,Q. ὅμοιος,45,同様の,そこから,同様に,重い,(45)同様の,同様の,(45)同様の,"""true""","[quiz question=""同様の,そこから,同様に,重い"" answer=""同様の"" kaisetsu=""(45)同様の"" random=""true""]ὅμοιος[/quiz]",,,
10:複文,10:複文クイズ,形、副、小辞,形、副、小辞クイズ,ὁμοίως,,Q. ὁμοίως,30,同様に,すぐに,同様の,重く,(30)同様に,同様に,(30)同様に,"""true""","[quiz question=""同様に,すぐに,同様の,重く"" answer=""同様に"" kaisetsu=""(30)同様に"" random=""true""]ὁμοίως[/quiz]",,,
10:複文,10:複文クイズ,形、副、小辞,形、副、小辞クイズ,ὅπου,,Q. ὅπου,82,〜の場所で、の所で,真理、真実,近くで,〜の時に,(82)〜の場所で、の所で,〜の場所で、の所で,(82)〜の場所で、の所で,"""true""","[quiz question=""〜の場所で、の所で,真理、真実,近くで,〜の時に"" answer=""〜の場所で、の所で"" kaisetsu=""(82)〜の場所で、の所で"" random=""true""]ὅπου[/quiz]",,,
10:複文,10:複文クイズ,形、副、小辞,形、副、小辞クイズ,"ὅς,ἥ,ὅ",,"Q. ὅς,ἥ,ὅ",1398,〜のところの,真実の、実際の,それ,冠詞,(1398)〜のところの　ὅς ἄν 誰でも,〜のところの　ὅς ἄν 誰でも,(1398)〜のところの,"""true""","[quiz question=""〜のところの,真実の、実際の,それ,冠詞"" answer=""〜のところの"" kaisetsu=""(1398)〜のところの　ὅς ἄν 誰でも"" random=""true""]ὅς,ἥ,ὅ[/quiz]",,,
